  IMAGE     STATE (x,y,yaw)          FWD      BWD       CW      CCW
--------------------------------------------------------------------
  00000         (0,0,0)           00001    00002    00003    00004
  00001         (5,0,0)           00005    00000    00006    00007
  00002        (-5,0,0)           00000    00008    00009    00010
  00003        (0,0,270)          00011    00012    00013    00000
  00004        (0,0,90)           00014    00015    00000    00013
  00005        (10,0,0)            None    00001    00016    00017
  00006        (5,0,270)          00018    00019    00020    00001
  00007        (5,0,90)           00021    00022    00001    00020
  00008        (-10,0,0)          00002    00023    00024    00025
  00009       (-5,0,270)          00026    00027    00028    00002
  00010        (-5,0,90)          00029    00030    00002    00028
  00011       (0,-5,270)          00031    00003    00032    00033
  00012        (0,5,270)          00003     None    00034    00035
  00013        (0,0,180)          00028    00020    00004    00003
  00014        (0,5,90)            None    00004    00035    00034
  00015        (0,-5,90)          00004    00036    00033    00032
  00016       (10,0,270)          00037    00038    00039    00005
  00017        (10,0,90)          00040    00041    00005    00039
  00018       (5,-5,270)          00042    00006    00043    00044
  00019        (5,5,270)          00006     None    00045    00046
  00020        (5,0,180)          00013    00039    00007    00006
  00021        (5,5,90)            None    00007    00046    00045
  00022        (5,-5,90)          00007    00047    00044    00043
  00023        (-15,0,0)          00008     None    00048    00049
  00024       (-10,0,270)         00050    00051    00052    00008
  00025       (-10,0,90)          00053    00054    00008    00052
  00026       (-5,-5,270)         00055    00009    00056    00057
  00027       (-5,5,270)          00009     None    00058    00059
  00028       (-5,0,180)          00052    00013    00010    00009
  00029        (-5,5,90)           None    00010    00059    00058
  00030       (-5,-5,90)          00010    00060    00057    00056
  00031       (0,-10,270)          None    00011    00061    00062
  00032       (0,-5,180)          00056    00043    00015    00011
  00033        (0,-5,0)           00044    00057    00011    00015
  00034        (0,5,180)          00058    00045    00014    00012
  00035         (0,5,0)           00046    00059    00012    00014
  00036       (0,-10,90)          00015     None    00062    00061
  00037       (10,-5,270)         00063    00016    00064    00065
  00038       (10,5,270)          00016     None    00066    00067
  00039       (10,0,180)          00020     None    00017    00016
  00040        (10,5,90)           None    00017    00067    00066
  00041       (10,-5,90)          00017    00068    00065    00064
  00042       (5,-10,270)          None    00018    00069    00070
  00043       (5,-5,180)          00032    00064    00022    00018
  00044        (5,-5,0)           00065    00033    00018    00022
  00045        (5,5,180)          00034    00066    00021    00019
  00046         (5,5,0)           00067    00035    00019    00021
  00047       (5,-10,90)          00022     None    00070    00069
  00048       (-15,0,270)         00071    00072    00073    00023
  00049       (-15,0,90)          00074    00075    00023    00073
  00050      (-10,-5,270)         00076    00024    00077    00078
  00051       (-10,5,270)         00024     None    00079    00080
  00052       (-10,0,180)         00073    00028    00025    00024
  00053       (-10,5,90)           None    00025    00080    00079
  00054       (-10,-5,90)         00025    00081    00078    00077
  00055      (-5,-10,270)          None    00026    00082    00083
  00056       (-5,-5,180)         00077    00032    00030    00026
  00057        (-5,-5,0)          00033    00078    00026    00030
  00058       (-5,5,180)          00079    00034    00029    00027
  00059        (-5,5,0)           00035    00080    00027    00029
  00060       (-5,-10,90)         00030     None    00083    00082
  00061       (0,-10,180)         00082    00069    00036    00031
  00062        (0,-10,0)          00070    00083    00031    00036
  00063      (10,-10,270)          None    00037    00084    00085
  00064       (10,-5,180)         00043     None    00041    00037
  00065        (10,-5,0)           None    00044    00037    00041
  00066       (10,5,180)          00045     None    00040    00038
  00067        (10,5,0)            None    00046    00038    00040
  00068       (10,-10,90)         00041     None    00085    00084
  00069       (5,-10,180)         00061    00084    00047    00042
  00070        (5,-10,0)          00085    00062    00042    00047
  00071      (-15,-5,270)         00086    00048    00087    00088
  00072       (-15,5,270)         00048     None    00089    00090
  00073       (-15,0,180)          None    00052    00049    00048
  00074       (-15,5,90)           None    00049    00090    00089
  00075       (-15,-5,90)         00049    00091    00088    00087
  00076      (-10,-10,270)         None    00050    00092    00093
  00077      (-10,-5,180)         00087    00056    00054    00050
  00078       (-10,-5,0)          00057    00088    00050    00054
  00079       (-10,5,180)         00089    00058    00053    00051
  00080        (-10,5,0)          00059    00090    00051    00053
  00081      (-10,-10,90)         00054     None    00093    00092
  00082      (-5,-10,180)         00092    00061    00060    00055
  00083       (-5,-10,0)          00062    00093    00055    00060
  00084      (10,-10,180)         00069     None    00068    00063
  00085       (10,-10,0)           None    00070    00063    00068
  00086      (-15,-10,270)         None    00071    00094    00095
  00087      (-15,-5,180)          None    00077    00075    00071
  00088       (-15,-5,0)          00078     None    00071    00075
  00089       (-15,5,180)          None    00079    00074    00072
  00090        (-15,5,0)          00080     None    00072    00074
  00091      (-15,-10,90)         00075     None    00095    00094
  00092      (-10,-10,180)        00094    00082    00081    00076
  00093       (-10,-10,0)         00083    00095    00076    00081
  00094      (-15,-10,180)         None    00092    00091    00086
  00095       (-15,-10,0)         00093     None    00086    00091
